PDF,Model,Watt(W),DC Voltage(V),Additional Option(Type),Method
LPF-40-SPEC.PDF,LPF-40-30,40.2,30,,ordered-truncated
LPF-40-SPEC.PDF,LPF-40-36,40.32,48,,ordered-truncated
LPF-40-SPEC.PDF,LPF-40-42,41.04,54,,ordered-truncated
LPF-40D-SPEC.PDF,LPF-40D-12,40.08,12,,ordered-truncated
LPF-40D-SPEC.PDF,LPF-40D-15,40.08,15,,ordered-truncated
LPF-40D-SPEC.PDF,LPF-40D-20,40,20,,ordered-truncated
LPF-40D-SPEC.PDF,LPF-40D-24,40.08,24,,ordered-truncated
LPF-40D-SPEC.PDF,LPF-40D-30,40.2,30,,ordered-truncated
LPF-40D-SPEC.PDF,LPF-40D-36,40.32,48,,ordered-truncated
LPF-40D-SPEC.PDF,LPF-40D-42,41.04,54,,ordered-truncated
LPF-60-SPEC.PDF,LPF-60-12,60,12,,ordered-truncated
LPF-60-SPEC.PDF,LPF-60-15,60,15,,ordered-truncated
LPF-60-SPEC.PDF,LPF-60-20,60,20,,ordered-truncated
LPF-60-SPEC.PDF,LPF-60-24,60,24,,ordered-truncated
LPF-60-SPEC.PDF,LPF-60-30,60,30,,ordered-truncated
LPF-60-SPEC.PDF,LPF-60-36,60,48,,ordered-truncated
LPF-60-SPEC.PDF,LPF-60-42,60.48,54,,ordered-truncated
LPF-60D-SPEC.PDF,LPF-60D-12,60,12,,ordered-truncated
LPF-60D-SPEC.PDF,LPF-60D-15,60,15,,ordered-truncated
LPF-60D-SPEC.PDF,LPF-60D-20,60,20,,ordered-truncated
LPF-60D-SPEC.PDF,LPF-60D-24,60,24,,ordered-truncated
LPF-60D-SPEC.PDF,LPF-60D-30,60,30,,ordered-truncated
LPF-60D-SPEC.PDF,LPF-60D-36,60,48,,ordered-truncated
LPF-60D-SPEC.PDF,LPF-60D-42,60.48,54,,ordered-truncated
LPF-90-SPEC.PDF,LPF-90-15,75,15,,ordered-truncated
LPF-90-SPEC.PDF,LPF-90-20,90,20,,ordered-truncated
LPF-90-SPEC.PDF,LPF-90-24,90,24,,ordered-truncated
LPF-90-SPEC.PDF,LPF-90-30,90,30,,ordered-truncated
LPF-90-SPEC.PDF,LPF-90-36,90.24,48,,ordered-truncated
LPF-90-SPEC.PDF,LPF-90-42,90.18,54,,ordered-truncated
LPF-90D-SPEC.PDF,LPF-90D-15,75,15,,ordered-truncated
LPF-90D-SPEC.PDF,LPF-90D-20,90,20,,ordered-truncated
LPF-90D-SPEC.PDF,LPF-90D-24,90,24,,ordered-truncated
LPF-90D-SPEC.PDF,LPF-90D-30,90,30,,ordered-truncated
LPF-90D-SPEC.PDF,LPF-90D-36,90.24,48,,ordered-truncated
LPF-90D-SPEC.PDF,LPF-90D-42,90.18,54,,ordered-truncated
LPH-18-SPEC.pdf,LPH-18-12,18,12,,ordered
LPH-18-SPEC.pdf,LPH-18-24,18,24,,ordered
LPH-18-SPEC.pdf,LPH-18-36,18,36,,ordered
LPHC-18-SPEC.pdf,LPHC-18-350,16.8,48,,ordered
LPHC-18-SPEC.pdf,LPHC-18-700,17.5,25,,ordered
LPP-100-SPEC.PDF,LPP-100-12,102,12,,ordered
LPP-100-SPEC.PDF,LPP-100-13.5,101.25,13.5,,ordered
LPP-100-SPEC.PDF,LPP-100-15,100.5,15,,ordered
LPP-100-SPEC.PDF,LPP-100-24,100.8,24,,ordered
LPP-100-SPEC.PDF,LPP-100-27,102.6,27,,ordered
LPP-100-SPEC.PDF,LPP-100-3.3,66,3.3,,ordered
LPP-100-SPEC.PDF,LPP-100-48,100.8,48,,ordered
LPP-100-SPEC.PDF,LPP-100-5,100,5,,ordered
LPP-100-SPEC.PDF,LPP-100-7.5,101.25,7.5,,ordered
LPP-150-SPEC.PDF,LPP-150-12,150,12,,ordered
LPP-150-SPEC.PDF,LPP-150-13.5,151.2,13.5,,ordered
LPP-150-SPEC.PDF,LPP-150-15,150,15,,ordered
LPP-150-SPEC.PDF,LPP-150-24,151.2,24,,ordered
LPP-150-SPEC.PDF,LPP-150-27,151.2,27,,ordered
