"Model","Watt(W)","Sources","DistinctPDFs","Note"
"HRP-300-48","336","1","1",""
"HRP-300-5","300","1","1",""
"HRP-300-7.5","300","1","1",""
"HRP-300N3","324","1","1",""
"HRP-450-12","450","1","1",""
"HRP-450-15","450","1","1",""
"HRP-450-24","451.2","1","1",""
"HRP-450-3.3","297","1","1",""
"HRP-450-36","450","1","1",""
"HRP-450-48","456","1","1",""
"HRP-450-5","450","1","1",""
"HRP-450-7.5","450","1","1",""
"HRP-600-12","636","1","1",""
"HRP-600-15","645","1","1",""
"HRP-600-24","648","1","1",""
"HRP-600-3.3","396","1","1",""
"HRP-600-36","630","1","1",""
"HRP-600-48","624","1","1",""
"HRP-600-5","600","1","1",""
"HRP-600-7.5","600","1","1",""
"HRP-600N3","636","1","1",""
"HRP-75-12","75.6","1","1",""
"HRP-75-15","75","1","1",""
"HRP-75-24","76.8","1","1",""
"HRP-75-3.3","49.5","1","1",""
"HRP-75-36","75.6","1","1",""
"HRP-75-48","76.8","1","1",""
"HRP-75-5","75","1","1",""
"HRP-75-7.5","75","1","1",""
"HRPG-1000N3","960","1","1",""
"HRPG-150-12","156","1","1",""
"HRPG-150-15","150","1","1",""
"HRPG-150-24","156","1","1",""
"HRPG-150-3.3","99","1","1",""
"HRPG-150-36","154.8","1","1",""
"HRPG-150-48","158.4","1","1",""
"HRPG-150-5","130","1","1",""
"HRPG-150-7.5","150","1","1",""
"HRPG-200-12","200.4","1","1",""
"HRPG-200-15","201","1","1",""
"HRPG-200-24","201.6","1","1",""
"HRPG-200-3.3","132","1","1",""
"HRPG-200-36","205.2","1","1",""
"HRPG-200-48","206.4","1","1",""
"HRPG-200-5","175","1","1",""
"HRPG-200-7.5","200.3","1","1",""
"HRPG-300-12","324","1","1",""
"HRPG-300-15","330","1","1",""
"HRPG-300-24","336","1","1",""
"HRPG-300-3.3","198","1","1",""
"HRPG-300-36","324","1","1",""
"HRPG-300-48","336","1","1",""
"HRPG-300-5","300","1","1",""
"HRPG-300-7.5","300","1","1",""
"HRPG-450-12","450","1","1",""
"HRPG-450-15","450","1","1",""
"HRPG-450-24","451.2","1","1",""
"HRPG-450-3.3","297","1","1",""
"HRPG-450-36","450","1","1",""
"HRPG-450-48","456","1","1",""
"HRPG-450-5","450","1","1",""
"HRPG-450-7.5","450","1","1",""
"HRPG-600-12","636","1","1",""
"HRPG-600-15","645","1","1",""
"HRPG-600-24","648","1","1",""
"HRPG-600-3.3","396","1","1",""
"HRPG-600-36","630","1","1",""
"HRPG-600-48","624","1","1",""
"HRPG-600-5","600","1","1",""
"HRPG-600-7.5","600","1","1",""
"HSP-200-5","200","1","1",""
"HSP-300-5","300","1","1",""
"ICL-16L","1.5","1","1",""
"ICL-16R","1.5","1","1",""
"IEC60601-1/-1-11","36","9","9","multiple watt values detected across PDFs"
"IEC61800-5-1","350","8","8","multiple watt values detected across PDFs"
"IEC62368-1","3200","79","79","multiple watt values detected across PDFs"
"IOB-05-03","3.3","1","1",""
"IOB-05-05","5","1","1",""
"IOB-05-09","5.04","1","1",""
"IOB-05-12","5.04","1","1",""
"IOB-05-15","5.1","1","1",""
"IOB-05-24","5.04","1","1",""
"IOB-15-03","9.9","1","1",""
"IOB-15-05","14","1","1",""
"IOB-15-09","15","1","1",""
"IOB-15-12","15","1","1",""
"IOB-15-15","15","1","1",""
"IOB-15-24","15","1","1",""
"IP42","37.8","1","1",""
"IP65","150","42","42","multiple watt values detected across PDFs"
"IP67","150","36","36","multiple watt values detected across PDFs"
"IP68","240","6","6","multiple watt values detected across PDFs"
"IRM-01","0.075","1","1",""
"IRM-02","0.075","1","1",""
"IRM-03","0.075","1","1",""
"IRM-05-12","5.04","1","1",""
"IRM-05-15","4.95","1","1",""
"IRM-05-24","5.52","1","1",""
"IRM-05-3.3","4.125","1","1",""
"IRM-05-5","5","1","1",""
"IRM-10-12","10.2","1","1",""
"IRM-10-15","10.05","1","1",""
"IRM-10-24","10.08","1","1",""
"IRM-10-3.3","8.25","1","1",""
"IRM-10-5","10","1","1",""
"IRM-15","11.55","1","1",""
"IRM-20","14.85","1","1",""
"IRM-90","0.3","1","1",""
"IS13252","18","18","18","multiple watt values detected across PDFs"
"IS15885(FOR","37.8","1","1",""
"ISI-501","500","1","1",""
"J62368-1","12","6","6","multiple watt values detected across PDFs"
"K60950-1","280","1","1",""
"KAA-4R4V-S","4","1","1",""
"KAA-8R-10S","8","1","1",""
"KAA-8R-S","8","1","1",""
"KC62368-1","45","7","7","multiple watt values detected across PDFs"
"KNX-20E-640","19.2","1","1",""
"KNX-40E-1280","38.4","1","1",""
"KSC-01L","1","1","1",""
"KSR-01IP","1","1","1",""
"LCM-40TW","40","1","1",""
"LDDS-1000HW","45","1","1",""
"LDDS-250HW","45","1","1",""
"LDDS-300HW","45","1","1",""
"LDDS-350HW","45","1","1",""
"LDDS-500HW","45","1","1",""
"LDDS-700HW","45","1","1",""
"LDH-25","25.2","1","1",""
