"SpecPath","ModelAliases","MatchedThumbnailCount","MatchedThumbnails"
"EPS\RSP\RSP-1500-SPEC.pdf","RSP-1500","0",""
"EPS\RSP\RSP-150-SPEC.pdf","RSP-150","2","RSP-150.jpg; RSP-150-15.jpg"
"EPS\RSP\RSP-1600-SPEC.pdf","RSP-1600","0",""
"EPS\RSP\RSP-2000-SPEC.pdf","RSP-2000","2","RSP-2000.jpg; RSP-2000-36.jpg"
"EPS\RSP\RSP-200-SPEC.pdf","RSP-200","1","RSP-200.jpg"
"EPS\RSP\RSP-2400-SPEC.pdf","RSP-2400","3","RSP-2400.jpg; RSP-2400-36.jpg; RSP-2400-48.jpg"
"EPS\RSP\RSP-3000-SPEC.pdf","RSP-3000","0",""
"EPS\RSP\RSP-320-SPEC.pdf","RSP-320","4","RSP-320.jpg; RSP-320-15.jpg; RSP-320-48.jpg; RSP-320-5.jpg"
"EPS\RSP\RSP-500-spec.pdf","RSP-500","0",""
"EPS\RSP\RSP-750-SPEC.pdf","RSP-750","1","RSP-750.jpg"
"EPS\RSP\RSP-75-SPEC.pdf","RSP-75","3","RSP-75.jpg; RSP-75-24.jpg; RSP-75-5.jpg"
"EPS\SDR\SDR-120-SPEC.pdf","SDR-120","0",""
"EPS\SDR\SDR-240-SPEC.pdf","SDR-240","0",""
"EPS\SDR\SDR-480P-spec.pdf","SDR-480P","0",""
"EPS\SDR\SDR-480-SPEC.pdf","SDR-480","2","SDR-480.jpg; SDR-480-48.jpg"
"EPS\SDR\SDR-75-SPEC.pdf","SDR-75","0",""
"EPS\SDR\SDR-960-SPEC.pdf","SDR-960","2","SDR-960.jpg; SDR-960-48.jpg"
"EPS\TDR\TDR-240-spec.pdf","TDR-240","2","TDR-240.jpg; TDR-240-48.jpg"
"EPS\TDR\TDR-480-SPEC.pdf","TDR-480","2","TDR-480.jpg; TDR-480-48.jpg"
"EPS\TDR\TDR-960-SPEC.pdf","TDR-960","2","TDR-960.jpg; TDR-960-48.jpg"
"EPS\WDR\WDR-120-SPEC.pdf","WDR-120","3","WDR-120.jpg; WDR-120-12.jpg; WDR-120-48.jpg"
"EPS\WDR\WDR-240-SPEC.pdf","WDR-240","2","WDR-240.jpg; WDR-240-48.jpg"
"EPS\WDR\WDR-480-SPEC.pdf","WDR-480","2","WDR-480.jpg; WDR-480-48.jpg"
"EPS\WDR\WDR-60-spec.pdf","WDR-60","4","WDR-60.jpg; WDR-60-24.jpg; WDR-60-48.jpg; WDR-60-5.jpg"
"EPS\XDR\XDR-120E-spec.pdf","XDR-120E","0",""
"EPS\XDR\XDR-150E-spec.pdf","XDR-150E","0",""
"EPS\XDR\XDR-240E-spec.pdf","XDR-240E","0",""
"EPS\XDR\XDR-480E-spec.pdf","XDR-480E","0",""
"EPS\XDR\XDR-75E-spec.pdf","XDR-75E","0",""
"EPS\XDR\XDR-960E-spec.pdf","XDR-960E","0",""
"ERDN\ERDN20-spec.pdf","ERDN20","2","ERDN20.jpg; ERDN20-24.jpg"
