.,,,,
,SMPS 재고,,2026. 6. 4,
,,,오전 9:00:00 최신화,
,,,,
,모델명,재고수량,예약수량,
,ADS 시리즈,재고수량,예약수량,
,ADS-15512,-,-,
,,,,
,APV 시리즈,재고수량,예약수량,
,NDR 시리즈,재고수량,예약수량,
,NDR-120-12,131,-,
,NDR-120-24,455,-,
,NDR-120-48,49,-,
,NDR-240-24,557,106,
,NDR-240-48,303,-,
,NDR-480-24,166,-,
,NDR-480-48,13,-,
,NDR-75-12,61,-,
,NDR-75-24,226,-,
,NDR-75-48,27,-,
,,,,
,NLDD 시리즈,재고수량,예약수량,
,NLDD-1400H,-,-,
,,,,
,NPB 시리즈,재고수량,예약수량,
,NPB-240-24TB,-,-,
,NPB-450-72,-,-,
,NPB-1700-48,-,-,
,,,,
,NPP시리즈,재고수량,예약수량,
,NPP-750-48,1,-,
,,,,
,NSP시리즈,재고수량,예약수량,
,NSP-100-12,33,-,
,NSP-100-24,45,-,
,NSP-150-12,26,-,
,NSP-150-24,30,-,
,NSP-1600-12,6,-,
,NSP-1600-24,6,-,
,NSP-200-12,16,-,
,NSP-200-24,23,-,
,NSP-1000-15,-,-,
,NSP-3200-24,1,-,
,NSP-3200-48,2,-,
,NSP-320-12,16,-,
,NSP-320-24,8,-,
,NSP-500-12,12,-,
,NSP-500-24,26,-,
,NSP-500-48,12,-,
,NSP-75-5,2,-,
,NSP-750-12,9,-,
,NSP-750-24,7,-,
,NSP-75-12,45,-,
,NSP-75-24,45,-,
,,,,
,,,,
,NTS 시리즈,재고수량,예약수량,
,NTS-400P-224,14,-,
,,,,
,PD 시리즈,재고수량,예약수량,
,PD-25A,73,-,
,PD-2505,50,50,
,PD-65A,-,-,
,,,,
,PSP 시리즈,재고수량,예약수량,
,PSP-600-24,-,45,
,,,,
,PT 시리즈,재고수량,예약수량,
,PT-45C,59,-,
,,,,
,RCP 시리즈,재고수량,예약수량,
,RCP-2000-48,-,-,
,,,,
,RD 시리즈,재고수량,예약수량,
,RD-125-1224,-,-,
,RD-125-2448,20,-,
,RD-35A,44,-,
,RD-35B,57,-,
,RD-50A,86,-,
,RD-50B,147,-,
,RD-65A,5,-,
,RD-65B,184,-,
,RD-85A,66,-,
,RD-85B,44,-,
,RD-125A,97,-,
,RD-125B,35,-,
,,,,
,RID 시리즈,재고수량,예약수량,
,RID-50B,-,5,
,RID-125-2405,-,-,
,,,,
,RKP 시리즈,재고수량,예약수량,
,RKP-1UT,-,-,
,,,,
,RPD 시리즈,재고수량,예약수량,
,RPD-60A,96,-,
,RPD-75A,13,-,
,,,,
,RPS 시리즈,재고수량,예약수량,
,RPS-30-12,-,-,
,RPS-45-5,-,-,
,RPS-60-5,125,-,
,RPS-60-12,171,300,
,RPS-60-24,153,-,
,RPS-65-5,594,-,
,RPS-65-12,84,-,
,RPS-65-24,189,50,
,RPS-75-5,580,200,
,RPS-75-12,63,-,
,RPS-75-15,-,-,
,RPS-75-24,47,-,
,RPS-75-48,61,-,
,RPS-120-12,153,-,
,RPS-120-12-C,22,-,
,RPS-120-15,122,266,
,RPS-120-24,112,-,
,RPS-120S-24,-,-,
,RPS-160-12,36,-,
,RPS-200-12,91,-,
,RPS-200-24-C,-,-,
,RPS-200-24,116,-,
,RPS-200-27,148,-,
,RPS-200-48,95,-,
,RPS-300-12,36,-,
,RPS-300-24,148,600,
,RPS-300-24-C,31,-,
,RPS-300-48,56,-,
,RPS-400-12,-,-,
,RPS-400-12-C,-,-,
,RPS-400-15,-,-,
,RPS-400-15-C,-,-,
,RPS-400-24,36,-,
,RPS-400-24-TF,-,-,
,RPS-500-48,-,-,
,,,,
,RPT 시리즈,재고수량,예약수량,
,RPT-60B,30,-,
,RPT-16D,,,
,,,,
,RQ 시리즈,재고수량,예약수량,
,RQ-50C,79,-,
,RQ-125B,-,-,
,,,,
,RS 시리즈,재고수량,예약수량,
,RS-15-3.3,99,-,
,RS-15-5,444,61,
,RS-15-12,80,-,
,RS-15-15,164,-,
,RS-15-24,529,300,
,RS-25-5,359,20,
,RS-25-12,278,39,
,RS-25-15,181,-,
,RS-25-24,598,-,
,RS-25-48,132,-,
,RS-35-12,91,-,
,RS-35-24,92,-,
,RS-50-5,57,-,
,RS-50-3.3,35,-,
,RS-50-12,-,-,
,RS-50-15,87,-,
,RS-50-24,106,-,
,RS-75-5,30,-,
,RS-75-12,70,-,
,RS-75-24,87,-,
,RS-100-12,60,-,
,RS-100-24,8,8,
